0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	126
5	124
6	123
9	122
9	121
12	119
14	118
20	112
34	99
41	95
45	93
50	91
51	89
51	89
54	89
58	89
63	89
69	89
73	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
74	89
75	91
75	94
76	99
77	101
79	104
79	107
80	107
80	108
80	109
80	109
80	109
80	109
80	109
80	109
80	109
80	109
80	109
80	109
80	109
80	109
83	109
95	104
107	99
121	90
149	81
177	74
200	69
214	66
223	65
227	64
228	64
228	64
232	62
238	60
247	56
251	55
255	54
261	53
268	53
276	53
283	53
286	54
290	55
295	56
296	57
298	58
299	58
304	58
310	58
319	59
326	59
332	59
335	59
336	59
337	59
337	59
337	59
338	59
340	59
343	59
345	59
346	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
347	59
